Date,Food Price Index
1990-01,64.4
1990-02,64.7
1990-03,64
1990-04,66
1990-05,64.6
1990-06,64.1
1990-07,62.9
1990-08,61.8
1990-09,61.3
1990-10,61.4
1990-11,62.3
1990-12,62.2
1991-01,61
1991-02,61.8
1991-03,62.3
1991-04,61
1991-05,60.8
1991-06,61.3
1991-07,62.2
1991-08,61.8
1991-09,62.4
1991-10,64.5
1991-11,64.6
1991-12,64.3
1992-01,65.1
1992-02,65.9
1992-03,66.5
1992-04,64.8
1992-05,65.1
1992-06,65.9
1992-07,64.7
1992-08,63.1
1992-09,63.8
1992-10,61.8
1992-11,62.7
1992-12,61.3
1993-01,61.6
1993-02,61.4
1993-03,63.2
1993-04,62.8
1993-05,62.4
1993-06,61.8
1993-07,62.2
1993-08,60.9
1993-09,61.2
1993-10,61.5
1993-11,63.4
1993-12,64.7
1994-01,64.8
1994-02,64.5
1994-03,64.8
1994-04,64.1
1994-05,65.9
1994-06,65.5
1994-07,64.2
1994-08,66.6
1994-09,69.6
1994-10,70.3
1994-11,73.6
1994-12,73.3
1995-01,73
1995-02,74.7
1995-03,75.5
1995-04,74.3
1995-05,74.1
1995-06,75.3
1995-07,79.6
1995-08,78.1
1995-09,78.5
1995-10,80.5
1995-11,80
1995-12,78.2
1996-01,77.1
1996-02,77.6
1996-03,78.7
1996-04,80.9
1996-05,82.5
1996-06,80.7
1996-07,80.5
1996-08,80.1
1996-09,77.1
1996-10,74.4
1996-11,72.7
1996-12,71.5
1997-01,71
1997-02,71.2
1997-03,73
1997-04,73.5
1997-05,72.9
1997-06,70.3
1997-07,68.6
1997-08,70
1997-09,70.1
1997-10,69.9
1997-11,70.5
1997-12,68.1
1998-01,67.5
1998-02,67.7
1998-03,67.6
1998-04,67
1998-05,66.6
1998-06,64.4
1998-07,64.4
1998-08,62.6
1998-09,62.1
1998-10,62.9
1998-11,62.8
1998-12,62.2
1999-01,61.2
1999-02,58.6
1999-03,57.2
1999-04,56
1999-05,55.6
1999-06,54.8
1999-07,52.8
1999-08,54.6
1999-09,54.8
1999-10,53.5
1999-11,53.5
1999-12,52.1
2000-01,52.8
2000-02,52.5
2000-03,53.1
2000-04,53.7
2000-05,54
2000-06,54.2
2000-07,54.4
2000-08,53.5
2000-09,52.9
2000-10,53.7
2000-11,54.2
2000-12,54.8
2001-01,54.1
2001-02,54.6
2001-03,55.5
2001-04,55
2001-05,55.8
2001-06,55.2
2001-07,56.9
2001-08,57
2001-09,55.8
2001-10,54.5
2001-11,55.1
2001-12,54.6
2002-01,53.8
2002-02,52
2002-03,52.3
2002-04,51.4
2002-05,50.8
2002-06,51.6
2002-07,52.3
2002-08,53.7
2002-09,55.1
2002-10,55.5
2002-11,56.6
2002-12,56
2003-01,56.2
2003-02,56.9
2003-03,55.9
2003-04,55.9
2003-05,56.7
2003-06,56.4
2003-07,57.1
2003-08,57.8
2003-09,59
2003-10,60.6
2003-11,62
2003-12,62.9
2004-01,64.7
