Period,,Average,End-of-Period
1945,January,2,n.a.
,February,2,n.a.
,March,2,n.a.
,April,2,n.a.
,May,2,n.a.
,June,2,n.a.
,July,2,n.a.
,August,2,n.a.
,September,2,n.a.
,October,2,n.a.
,November,2,n.a.
,December,2,n.a.
1946,January,2,n.a.
,February,2,n.a.
,March,2,n.a.
,April,2,n.a.
,May,2,n.a.
,June,2,n.a.
,July,2,n.a.
,August,2,n.a.
,September,2,n.a.
,October,2,n.a.
,November,2,n.a.
,December,2,n.a.
1947,January,2,n.a.
,February,2,n.a.
,March,2,n.a.
,April,2,n.a.
,May,2,n.a.
,June,2,n.a.
,July,2,n.a.
,August,2,n.a.
,September,2,n.a.
,October,2,n.a.
,November,2,n.a.
,December,2,n.a.
1948,January,2,n.a.
,February,2,n.a.
,March,2,n.a.
,April,2,n.a.
,May,2,n.a.
,June,2,n.a.
,July,2,n.a.
,August,2,n.a.
,September,2,n.a.
,October,2,n.a.
,November,2,n.a.
,December,2,n.a.
1949,January,2,n.a.
,February,2,n.a.
,March,2,n.a.
,April,2,n.a.
,May,2,n.a.
,June,2,n.a.
,July,2,n.a.
,August,2,n.a.
,September,2,n.a.
,October,2,n.a.
,November,2,n.a.
,December,2,n.a.
1950,January,2,n.a.
,February,2,n.a.
,March,2,n.a.
,April,2,n.a.
,May,2,n.a.
,June,2,n.a.
,July,2,n.a.
,August,2,n.a.
,September,2,n.a.
,October,2,n.a.
,November,2,n.a.
,December,2,n.a.
1951,January,2,n.a.
,February,2,n.a.
,March,2,n.a.
,April,2,n.a.
,May,2,n.a.
,June,2,n.a.
,July,2,n.a.
,August,2,n.a.
,September,2,n.a.
,October,2,n.a.
,November,2,n.a.
,December,2,n.a.
1952,January,2,n.a.
,February,2,n.a.
,March,2,n.a.
,April,2,n.a.
,May,2,n.a.
,June,2,n.a.
,July,2,n.a.
,August,2,n.a.
,September,2,n.a.
,October,2,n.a.
,November,2,n.a.
,December,2,n.a.
1953,January,2,n.a.
,February,2,n.a.
,March,2,n.a.
,April,2,n.a.
,May,2,n.a.
,June,2,n.a.
,July,2,n.a.
,August,2,n.a.
,September,2,n.a.
,October,2,n.a.
,November,2,n.a.
,December,2,n.a.
1954,January,2,n.a.
,February,2,n.a.
,March,2,n.a.
,April,2,n.a.
,May,2,n.a.
,June,2,n.a.
,July,2,n.a.
,August,2,n.a.
,September,2,n.a.
,October,2,n.a.
,November,2,n.a.
,December,2,n.a.
1955,January,2,n.a.
,February,2,n.a.
,March,2,n.a.
,April,2,n.a.
,May,2,n.a.
,June,2,n.a.
,July,2,n.a.
,August,2,n.a.
,September,2,n.a.
,October,2,n.a.
,November,2,n.a.
,December,2,n.a.
1956,January,2,n.a.
,February,2,n.a.
,March,2,n.a.
,April,2,n.a.
,May,2,n.a.
,June,2,n.a.
,July,2,n.a.
,August,2,n.a.
,September,2,n.a.
,October,2,n.a.
,November,2,n.a.
,December,2,n.a.
1957,January,2,n.a.
,February,2,n.a.
,March,2,n.a.
,April,2,n.a.
,May,2,n.a.
,June,2,n.a.
,July,2,n.a.
,August,2,n.a.
,September,2,n.a.
,October,2,n.a.
,November,2,n.a.
,December,2,n.a.
1958,January,2,n.a.
,February,2,n.a.
,March,2,n.a.
,April,2,n.a.
,May,2,n.a.
,June,2,n.a.
,July,2,n.a.
,August,2,n.a.
,September,2,n.a.
,October,2,n.a.
,November,2,n.a.
,December,2,n.a.
1959,January,2,n.a.
,February,2,n.a.
,March,2,n.a.
,April,2,n.a.
,May,2,n.a.
,June,2,n.a.
,July,2,n.a.
,August,2,n.a.
,September,2,n.a.
,October,2,n.a.
,November,2,n.a.
,December,2,n.a.
1960,January,2,n.a.
,February,2,n.a.
,March,2,n.a.
,April,2,n.a.
,May,3.2,n.a.
,June,3.2,n.a.
,July,3.2,n.a.
,August,3.2,n.a.
,September,3,n.a.
,October,3,n.a.
,November,3,n.a.
,December,3,n.a.
1961,January,3,n.a.
,February,3,n.a.
,March,3,n.a.
,April,3,n.a.
,May,3,n.a.
,June,3,n.a.
,July,3,n.a.
,August,3,n.a.
,September,3,n.a.
,October,3,n.a.
,November,3,n.a.
,December,3,n.a.
1962,January,2,n.a.
,February,3.4904,n.a.
,March,3.6082,n.a.
,April,3.73,n.a.
,May,3.8611,n.a.
,June,3.8745,n.a.
,July,3.8777,n.a.
,August,3.8819,n.a.
,September,3.8795,n.a.
,October,3.8831,n.a.
,November,3.9031,n.a.
,December,3.9003,n.a.
1963,January,3.8999,n.a.
,February,3.8999,n.a.
,March,3.9,n.a.
,April,3.8996,n.a.
,May,3.8997,n.a.
,June,3.8997,n.a.
,July,3.8996,n.a.
,August,3.899,n.a.
,September,3.8999,n.a.
,October,3.8999,n.a.
,November,3.9,n.a.
,December,3.9,n.a.
1964,January,3.9,n.a.
,February,3.9,n.a.
,March,3.8999,n.a.
,April,3.9,n.a.
,May,3.9,n.a.
,June,3.8999,n.a.
,July,3.8993,n.a.
,August,3.8998,n.a.
,September,3.8999,n.a.
,October,3.8999,n.a.
,November,3.9,n.a.
,December,3.8998,n.a.
1965,January,3.9,n.a.
,February,3.8999,n.a.
,March,3.8998,n.a.
,April,3.8999,n.a.
,May,3.8993,n.a.
,June,3.8999,n.a.
,July,3.8992,n.a.
,August,3.8999,n.a.
,September,3.8999,n.a.
,October,3.8999,n.a.
,November,3.9052,n.a.
,December,3.9088,n.a.
1966,January,3.9053,n.a.
,February,3.8987,n.a.
,March,3.895,n.a.
,April,3.8913,n.a.
,May,3.8913,n.a.
,June,3.8909,n.a.
,July,3.8872,n.a.
,August,3.8871,n.a.
,September,3.8951,n.a.
,October,3.9004,n.a.
,November,3.9012,n.a.
,December,3.902,n.a.
1967,January,3.9095,n.a.
,February,3.9129,n.a.
,March,3.913,n.a.
,April,3.9123,n.a.
,May,3.9103,n.a.
,June,3.9151,n.a.
,July,3.917,n.a.
,August,3.918,n.a.
,September,3.9186,n.a.
,October,3.9183,n.a.
,November,3.9184,n.a.
,December,3.919,n.a.
1968,January,3.9189,n.a.
,February,3.9189,n.a.
,March,3.9187,n.a.
,April,3.9166,n.a.
,May,3.9118,n.a.
,June,3.9145,n.a.
,July,3.9139,n.a.
,August,3.9144,n.a.
,September,3.914,n.a.
,October,3.9129,n.a.
,November,3.9174,n.a.
,December,3.9184,n.a.
1969,January,3.9186,n.a.
,February,3.9188,n.a.
,March,3.9185,n.a.
,April,3.9187,n.a.
,May,3.9191,n.a.
,June,3.9195,n.a.
,July,3.9195,n.a.
,August,3.9195,n.a.
,September,3.9195,n.a.
,October,3.9195,n.a.
,November,3.9195,n.a.
,December,3.9195,n.a.
1970,January,3.9195,3.94
,February,5.6282,5.78
,March,6.0962,6.118
,April,6.1628,6.24
,May,6.1213,6.17
,June,6.1924,6.2
,July,6.2303,6.25
,August,6.2695,6.3
,September,6.3704,6.435
,October,6.435,6.435
,November,6.435,6.435
,December,6.435,6.435
1971,January,6.435,6.435
,February,6.435,6.435
,March,6.435,6.435
,April,6.435,6.435
,May,6.435,6.435
,June,6.435,6.435
,July,6.435,6.435
,August,6.424545455,6.415
,September,6.410590909,6.43
,October,6.432404762,6.435
,November,6.433157895,6.435
,December,6.435,6.435
1972,January,6.435,6.435
,February,6.435,6.435
,March,6.435,6.435
,April,6.574975,6.772
,May,6.767477273,6.773
,June,6.771880952,6.7765
,July,6.7778,6.778
,August,6.779456522,6.78
,September,6.779547619,6.779
,October,6.781295455,6.781
,November,6.78065,6.781
,December,6.78045,6.781
